analysis_id,610354a6u28p368
parameter_id,M-G-P_016_001_001
pvalue,0.7501242
gene_symbol,Cd52
mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
mouse_strain,C57BL
parameter_name,White blood cell-count
