parameter_id,IMPC_IPG_010_001
analysis_id,69w77f496g5nm24
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.0814462
parameter_name,Fasted blood glucose concentration
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
