gene_symbol,Ssr2
parameter_id,ESLIM_016_001_005
mouse_life_stage,Early adult
parameter_name,Mean cell volume
analysis_id,wd4o0aq7h0s01az
gene_accession_id,MGI:1913506
mouse_strain,C57BL
pvalue,0.9587524
