parameter_id,HMGULA_CBC_016_001
analysis_id,sw5od42sorgp98a
pvalue,0.4694197
mouse_strain,C57BL
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
mouse_life_stage,Early adult
parameter_name,HDL-cholesterol
