analysis_id,q6854b7sw9t2t26
parameter_name,Neutrophil differential count
mouse_strain,C57BL
gene_symbol,Wars2
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_029_001
gene_accession_id,MGI:1917810
pvalue,0.9086505
