gene_symbol,Slc45a3
mouse_strain,C57BL
gene_accession_id,MGI:1922082
mouse_life_stage,Early adult
pvalue,0.7912256
analysis_id,mp972w774b32agd
parameter_name,NKT cells (panel A)
parameter_id,IMPC_IMM_004_001
