pvalue,0
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
gene_accession_id,MGI:894679
analysis_id,j04igw910g32310
gene_symbol,Bach2
parameter_id,MGP_IMM_078_001
