gene_symbol,Rab22a
pvalue,0.1563899
analysis_id,fc3yy1y39w0mw37
mouse_strain,C57BL
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
parameter_id,MGP_IMM_121_001
parameter_name,Macrophages - % of CD45+
