gene_symbol,Ncaph
parameter_name,Total T cells - % of CD45+
pvalue,0.1694083
parameter_id,MGP_MLN_001_001
mouse_strain,C57BL
analysis_id,g052xk319dhuf1o
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
