parameter_name,End-Systolic Diameter
pvalue,0.5045384
gene_accession_id,MGI:2444113
analysis_id,384tyts177rw496
parameter_id,IMPC_ECH_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Nemp2
