analysis_id,6e8wf4aajg944y3
gene_symbol,Eprs1
mouse_strain,C57BL
parameter_id,IMPC_EYE_027_001
mouse_life_stage,Early adult
gene_accession_id,MGI:97838
parameter_name,Persistence of hyaloid vascular system
pvalue,0.7664556
