gene_symbol,Lurap1
mouse_life_stage,Early adult
pvalue,0.315819
parameter_name,Neutrophils
mouse_strain,C57BL
gene_accession_id,MGI:1915325
analysis_id,mvgf5h301uc0x17
parameter_id,IMPC_IMM_050_001
