parameter_name,Coat colouration
analysis_id,3206fnxl0t60t36
parameter_id,M-G-P_026_001_004
pvalue,0.2343601
gene_accession_id,MGI:1914583
mouse_strain,C57BL
gene_symbol,Stk35
mouse_life_stage,Early adult
