gene_symbol,Frmpd1
parameter_id,ESLIM_008_001_017
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,tn33cv8cpgije7b
gene_accession_id,MGI:2446274
parameter_name,Limb grasping
pvalue,0.2290739
