parameter_name,Calcium
analysis_id,b9p9cg461ki1849
gene_accession_id,MGI:1917604
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.8391315
parameter_id,IMPC_CBC_009_001
gene_symbol,Secisbp2l
