analysis_id,e82qbka59lw9a88
pvalue,0.3041003
parameter_name,Right total retinal thickness
gene_symbol,Tnni1
parameter_id,IMPC_EYE_062_001
mouse_strain,C57BL
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
