gene_symbol,Exd1
parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_001
gene_accession_id,MGI:3045306
analysis_id,fedgchiwl67od19
mouse_strain,C57BL
pvalue,0.6058544
mouse_life_stage,Early adult
