gene_symbol,Lcn2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:96757
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
pvalue,0.4384112
analysis_id,21t9e426sf67k5o
