gene_symbol,C8b
parameter_id,IMPC_GEL_057_001
mouse_strain,C57BL
parameter_name,Heart looping
analysis_id,h19369g0tgzhx6e
mouse_life_stage,Early adult
pvalue,0.9185524
gene_accession_id,MGI:88236
