analysis_id,i7r9203nl1fk024
pvalue,0.9218793
parameter_id,IMPC_ECH_005_001
parameter_name,Fractional Shortening
mouse_life_stage,Early adult
gene_accession_id,MGI:1914836
mouse_strain,C57BL
gene_symbol,Ubxn11
