gene_symbol,Hrnr
analysis_id,8h6v8925ap1386z
parameter_id,MGP_PBI_038_001
gene_accession_id,MGI:3046938
mouse_life_stage,Early adult
pvalue,0.1074119
mouse_strain,C57BL
parameter_name,Ly6Clow monocyte number
