parameter_name,Hemoglobin
gene_symbol,Sgip1
analysis_id,8h6iv07e550lc3k
gene_accession_id,MGI:1920344
pvalue,0.6310746
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_003_001
