parameter_name,Platelet count
gene_accession_id,MGI:894679
parameter_id,IMPC_HEM_008_001
analysis_id,cdndc2m11y0ho97
mouse_strain,C57BL
gene_symbol,Bach2
mouse_life_stage,Early adult
pvalue,0.5893931
