analysis_id,40oypr7v2pm4p13
mouse_strain,129SV
gene_accession_id,MGI:2684980
pvalue,0.21807
parameter_id,JAXLA_HBD_001_001
parameter_name,Total holepokes
mouse_life_stage,Early adult
gene_symbol,Mms22l
