mouse_strain,129SV
pvalue,0.6922524
parameter_id,HMGULA_CBC_015_001
analysis_id,2w300f5y3y8c8nv
gene_symbol,Bpifa3
parameter_name,Total cholesterol
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
