analysis_id,59p93841vy3934x
parameter_id,IMPC_ECH_001_001
pvalue,0.5050463
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,End-Systolic Diameter
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
