parameter_name,B1B Cells
mouse_life_stage,Middle aged adult
pvalue,0.4206226
analysis_id,5tn13l3883q9gsv
mouse_strain,C57BL
gene_symbol,AU040320
parameter_id,IMPC_IMM_064_001
gene_accession_id,MGI:2140475
