analysis_id,2q75u669877d916
parameter_id,MGP_MLN_076_001
gene_accession_id,MGI:1917810
gene_symbol,Wars2
pvalue,0.6835802
mouse_strain,C57BL
parameter_name,Naive CD8+ T cells - % of CD45+
mouse_life_stage,E9.5
