parameter_id,IMPC_FEA_106_001
mouse_life_stage,Early adult
analysis_id,bj9drll8d6swmd5
gene_symbol,Rab3gap2
mouse_strain,C57BL
pvalue,0.3708016
gene_accession_id,MGI:1916043
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
