analysis_id,9799ok5kj8bwbqu
gene_symbol,Cldn19
pvalue,0.9673861
parameter_id,MGP_PBI_030_001
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
mouse_strain,C57BL
