gene_symbol,Lurap1
analysis_id,c0hvvdj3olv2r9l
parameter_id,IMPC_GEL_060_001
parameter_name,Neural tube morphology
gene_accession_id,MGI:1915325
mouse_strain,C57BL
pvalue,0.8528766
mouse_life_stage,Early adult
