parameter_name,% Freezing duration habituation-1
parameter_id,ICS_FEA_016_001
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
mouse_life_stage,Early adult
analysis_id,6bjh9095522s65v
pvalue,0.3354089
mouse_strain,C57BL
