gene_symbol,Lime1
gene_accession_id,MGI:1919949
parameter_name,Creatinine
pvalue,0.6714682
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_005_001
mouse_strain,C57BL
analysis_id,28z4t477mz2df3i
