analysis_id,16nui759wyam62g
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Zcchc2
gene_accession_id,MGI:2444114
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_IMM_006_001
pvalue,0.3258106
