analysis_id,335364yb3694ntf
gene_symbol,Fgb
pvalue,0.2815097
parameter_id,IMPC_ACS_034_001
gene_accession_id,MGI:99501
parameter_name,% Pre-pulse inhibition - PPI2
mouse_strain,C57BL
mouse_life_stage,E12.5
