analysis_id,741u5y7h9f81805
parameter_name,T cells - % of CD45+
pvalue,0.2205546
parameter_id,MGP_BMI_019_001
gene_accession_id,MGI:95835
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Hspa5
