parameter_name,B2B Cells
gene_symbol,Ahcy
mouse_life_stage,E9.5
gene_accession_id,MGI:87968
parameter_id,IMPC_IMM_065_001
mouse_strain,C57BL
analysis_id,zg3160s44g7n1pf
pvalue,0.8051279
