analysis_id,7178i8fp83c50b4
mouse_strain,C57BL
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_id,MGP_MLN_064_001
mouse_life_stage,Early adult
pvalue,0.6775227
parameter_name,Total CD4+ T cells - % of CD45+
