gene_symbol,Galk2
parameter_id,M-G-P_026_001_004
mouse_life_stage,Early adult
gene_accession_id,MGI:1917226
parameter_name,Coat colouration
analysis_id,1jw2hfx52yzo006
pvalue,0.2856104
mouse_strain,C57BL
