analysis_id,1qx2a40tn15rn26
gene_symbol,Fpgs
pvalue,0.06613169
mouse_life_stage,Early adult
gene_accession_id,MGI:95576
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_014_001
