gene_symbol,Med22
mouse_strain,C57BL
parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
mouse_life_stage,Early adult
analysis_id,7ut17f3brf9ok6j
pvalue,0.7275336
gene_accession_id,MGI:98446
