parameter_name,Clavicle
parameter_id,IMPC_XRY_007_001
gene_symbol,Cmpk1
pvalue,0.2610468
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,jgabp9vebo05gy1
gene_accession_id,MGI:1913838
