parameter_name,Periphery resting time
mouse_life_stage,Early adult
gene_symbol,Duoxa2
mouse_strain,C57BL
analysis_id,22w07y395498y2s
parameter_id,ESLIM_007_001_007
gene_accession_id,MGI:1914061
pvalue,0.3968093
