analysis_id,20zf1506n343341
pvalue,0.4813509
gene_symbol,Snrpb2
mouse_strain,C57BL
parameter_name,Limb coat/hair presence
parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:104805
mouse_life_stage,Early adult
