analysis_id,5lzrc6521pgqb33
parameter_id,ESLIM_008_001_013
mouse_strain,C57BL
gene_symbol,Mov10
gene_accession_id,MGI:97054
parameter_name,Startle response
mouse_life_stage,Early adult
pvalue,0.3367585
