analysis_id,05a65765268674b
mouse_strain,C57BL
parameter_id,MGP_IMM_071_001
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_life_stage,Early adult
pvalue,0.364599
parameter_name,Total CD4+ T cells - % of CD45+
