analysis_id,3scpazvl39a9yt2
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
gene_symbol,Nanp
pvalue,0.5329857
mouse_strain,C57BL
parameter_name,Snout morphology
parameter_id,MGP_CSD_066_001
