gene_symbol,Snrpb2
gene_accession_id,MGI:104805
parameter_name,PP1 startle magnitude
analysis_id,0jdq8ghd21wp2e9
parameter_id,ESLIM_011_001_002
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7466413
