analysis_id,433er9o4x53f16e
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
pvalue,0.1621251
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_name,Placenta Size
parameter_id,IMPC_GPP_004_001
