parameter_name,CD8 CD44-CD62L+ T cells
gene_accession_id,MGI:1924054
analysis_id,482pqq680486ix0
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Kdm4c
parameter_id,IMPC_IMM_034_001
pvalue,0.5491835
