analysis_id,aevn4v0g640ruxj
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_strain,C56BL
gene_symbol,Eprs1
gene_accession_id,MGI:97838
parameter_id,MGP_IMM_004_001
mouse_life_stage,E9.5
pvalue,0.4451593
