analysis_id,b5b5ie757jqr0zv
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Inpp1
pvalue,0.5080552
gene_accession_id,MGI:104848
parameter_name,Forelimb grip strength normalised against body weight
parameter_id,HRWLLA_GRS_010_001
