analysis_id,v997py4l0zz3l4o
parameter_id,IMPC_XRY_033_001
gene_accession_id,MGI:1921442
gene_symbol,Arpc5l
pvalue,0.157684
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Tibia length
