gene_symbol,Trim46
pvalue,0.8638134
parameter_name,Effector Treg cells - % of Treg
parameter_id,MGP_IMM_010_001
gene_accession_id,MGI:2673000
mouse_strain,C57BL
analysis_id,ugswi8b15680t3g
mouse_life_stage,Early adult
