gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
mouse_strain,C57BL
analysis_id,oxwi5797hr7vfsi
pvalue,0.1047172
parameter_name,Center distance travelled
parameter_id,JAX_OFD_014_001
mouse_life_stage,Early adult
