parameter_id,ESLIM_008_001_017
parameter_name,Limb grasping
analysis_id,u047u9r24d51659
mouse_strain,C57BL
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
mouse_life_stage,E12.5
pvalue,0.33567
