analysis_id,55ivxp441fhoysa
parameter_name,Head morphology
gene_symbol,Fgb
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
parameter_id,MGP_CSD_064_001
pvalue,0.6717593
