Parameter_name,B cell number
mouse_strain,C57BL
gene_accession_id,MGI:3033992
Parameter_id,MGP_PBI_034_001
pvalue,0.2012942
analysis_id,8o278km2805p9pd
gene_symbol,Cldn19
Mouse_life_stage,Early adult
