analysis_id,d4oto28g3y92vu9
parameter_name,Cleft palate
mouse_strain,C57BL
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_076_001
gene_symbol,Tatdn3
pvalue,0.379007
