analysis_id,05530l9okgj5m8k
gene_accession_id,MGI:95457
parameter_name,Distance travelled - total
mouse_life_stage,E12.5
parameter_id,HRWLLA_OFD_020_001
gene_symbol,Mecom
pvalue,0.4434582
mouse_strain,C57BL
