gene_symbol,Trdmt1
mouse_strain,C57BL
pvalue,0.6939344
gene_accession_id,MGI:1274787
analysis_id,95916zhzp140532
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_008_001
parameter_name,Total bilirubin
