analysis_id,p00537un3h3zr80
gene_accession_id,MGI:894679
gene_symbol,Bach2
parameter_id,M-G-P_006_001_026
pvalue,0.7278824
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Fusion of vertebrae
