parameter_name,Percent time in light
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_LDT_009_001
pvalue,0.5237025
gene_accession_id,MGI:3033992
analysis_id,y70e4tm516dav59
gene_symbol,Cldn19
