gene_symbol,Slc30a4
pvalue,0.6162344
gene_accession_id,MGI:1345282
analysis_id,1e978is9y248dm8
mouse_strain,C57BL
parameter_id,MGP_BMI_014_001
mouse_life_stage,Late adult
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
